cellid,cellname,q1X,q1Y,q1Z,q2X,q2Y,q2Z,q3X,q3Y,q3Z,q4X,q4Y,q4Z,q5X,q5Y,q5Z,q6X,q6Y,q6Z,q7X,q7Y,q7Z,q8X,q8Y,q8Z,mptX,mptY,mptZ,UTMzone,q1Lat,q1Lon,q2Lat,q2Lon,q3Lat,q3Lon,q4Lat,q4Lon,q5Lat,q5Lon,q6Lat,q6Lon,q7Lat,q7Lon,q8Lat,q8Lon,mptLat,mptLon
30,c.30,-700.0,4150.0,-70.0,-675.0,4150.0,-70.0,-700.0,4175.0,-70.0,-675.0,4175.0,-70.0,-700.0,4150.0,0.0,-675.0,4150.0,0.0,-700.0,4175.0,0.0,-675.0,4175.0,0.0,-687.5,4162.5,-35.0,54,36.732060321153874,127.5947068431419,36.763010945291626,127.86726086578774,36.9512521493915,127.55567012625949,36.982449070833034,127.82896055403423,36.732060321153874,127.5947068431419,36.763010945291626,127.86726086578774,36.9512521493915,127.55567012625949,36.982449070833034,127.82896055403423,36.85727405677487,127.71164959649504
31,c.31,-700.0,4175.0,-70.0,-675.0,4175.0,-70.0,-700.0,4200.0,-70.0,-675.0,4200.0,-70.0,-700.0,4175.0,0.0,-675.0,4175.0,0.0,-700.0,4200.0,0.0,-675.0,4200.0,0.0,-687.5,4187.5,-35.0,54,36.9512521493915,127.55567012625949,36.982449070833034,127.82896055403423,37.170400076758355,127.51620891670306,37.201844650719494,127.79024325614982,36.9512521493915,127.55567012625949,36.982449070833034,127.82896055403423,37.170400076758355,127.51620891670306,37.201844650719494,127.79024325614982,37.07656805946228,127.67277071246001
32,c.32,-700.0,4200.0,-70.0,-675.0,4200.0,-70.0,-700.0,4225.0,-70.0,-675.0,4225.0,-70.0,-700.0,4200.0,0.0,-675.0,4200.0,0.0,-700.0,4225.0,0.0,-675.0,4225.0,0.0,-687.5,4212.5,-35.0,54,37.170400076758355,127.51620891670306,37.201844650719494,127.79024325614982,37.38950359530484,127.47631846146959,37.42119719519984,127.75110429097364,37.170400076758355,127.51620891670306,37.201844650719494,127.79024325614982,37.38950359530484,127.47631846146959,37.42119719519984,127.75110429097364,37.29581859291079,127.63346873048117
33,c.33,-700.0,4225.0,-70.0,-675.0,4225.0,-70.0,-700.0,4250.0,-70.0,-675.0,4250.0,-70.0,-700.0,4225.0,0.0,-675.0,4225.0,0.0,-700.0,4250.0,0.0,-675.0,4250.0,0.0,-687.5,4237.5,-35.0,54,37.38950359530484,127.47631846146959,37.42119719519984,127.75110429097364,37.60856218985442,127.43599392692131,37.64050620756638,127.711538897713,37.38950359530484,127.47631846146959,37.42119719519984,127.75110429097364,37.60856218985442,127.43599392692131,37.64050620756638,127.711538897713,37.51502515477122,127.59373889340992
34,c.34,-700.0,4250.0,-70.0,-675.0,4250.0,-70.0,-700.0,4275.0,-70.0,-675.0,4275.0,-70.0,-700.0,4250.0,0.0,-675.0,4250.0,0.0,-700.0,4275.0,0.0,-675.0,4275.0,0.0,-687.5,4262.5,-35.0,54,37.60856218985442,127.43599392692131,37.64050620756638,127.711538897713,37.82757533784307,127.39523039720358,37.85977118399959,127.67154223437508,37.60856218985442,127.43599392692131,37.64050620756638,127.711538897713,37.82757533784307,127.39523039720358,37.85977118399959,127.67154223437508,37.7341872355244,127.55357636317677
35,c.35,-700.0,4275.0,-70.0,-675.0,4275.0,-70.0,-700.0,4300.0,-70.0,-675.0,4300.0,-70.0,-700.0,4275.0,0.0,-675.0,4275.0,0.0,-700.0,4300.0,0.0,-675.0,4300.0,0.0,-687.5,4287.5,-35.0,54,37.82757533784307,127.39523039720358,37.85977118399959,127.67154223437508,38.04654250915482,127.35402287262497,38.078991613409,127.63110937616065,37.82757533784307,127.39523039720358,37.85977118399959,127.67154223437508,38.04654250915482,127.35402287262497,38.078991613409,127.63110937616065,37.95330431832135,127.51297621919718
36,c.36,-700.0,4300.0,-70.0,-675.0,4300.0,-70.0,-700.0,4325.0,-70.0,-675.0,4325.0,-70.0,-700.0,4300.0,0.0,-675.0,4300.0,0.0,-700.0,4325.0,0.0,-675.0,4325.0,0.0,-687.5,4312.5,-35.0,54,38.04654250915482,127.35402287262497,38.078991613409,127.63110937616065,38.265463165953335,127.31236626799864,38.298166977270164,127.59023531381929,38.04654250915482,127.35402287262497,38.078991613409,127.63110937616065,38.265463165953335,127.31236626799864,38.298166977270164,127.59023531381929,38.172375878819466,127.47193345673918
37,c.37,-700.0,4325.0,-70.0,-675.0,4325.0,-70.0,-700.0,4350.0,-70.0,-675.0,4350.0,-70.0,-700.0,4325.0,0.0,-675.0,4325.0,0.0,-700.0,4350.0,0.0,-675.0,4350.0,0.0,-687.5,4337.5,-35.0,54,38.265463165953335,127.31236626799864,38.298166977270164,127.59023531381929,38.484336762509166,127.27025541094389,38.51729674945755,127.54891495196522,38.265463165953335,127.31236626799864,38.298166977270164,127.59023531381929,38.484336762509166,127.27025541094389,38.51729674945755,127.54891495196522,38.3914013850148,127.4304429852518
38,c.38,-700.0,4350.0,-70.0,-675.0,4350.0,-70.0,-700.0,4375.0,-70.0,-675.0,4375.0,-70.0,-700.0,4350.0,0.0,-675.0,4350.0,0.0,-700.0,4375.0,0.0,-675.0,4375.0,0.0,-687.5,4362.5,-35.0,54,38.484336762509166,127.27025541094389,38.51729674945755,127.54891495196522,38.70316274502292,127.2276850401468,38.73638039607334,127.5071431073519,38.484336762509166,127.27025541094389,38.51729674945755,127.54891495196522,38.70316274502292,127.2276850401468,38.73638039607334,127.5071431073519,38.610380297070044,127.38849962665327
39,c.39,-700.0,4375.0,-70.0,-675.0,4375.0,-70.0,-700.0,4400.0,-70.0,-675.0,4400.0,-70.0,-700.0,4375.0,0.0,-675.0,4375.0,0.0,-700.0,4400.0,0.0,-675.0,4400.0,0.0,-687.5,4387.5,-35.0,54,38.70316274502292,127.2276850401468,38.73638039607334,127.5071431073519,38.92194055144386,127.18464980357884,38.95541737527193,127.46491450710522,38.70316274502292,127.2276850401468,38.73638039607334,127.5071431073519,38.92194055144386,127.18464980357884,38.95541737527193,127.46491450710522,38.82931206713833,127.34609811357787
40,c.40,-700.0,4400.0,-70.0,-675.0,4400.0,-70.0,-700.0,4425.0,-70.0,-675.0,4425.0,-70.0,-700.0,4400.0,0.0,-675.0,4400.0,0.0,-700.0,4425.0,0.0,-675.0,4425.0,0.0,-687.5,4412.5,-35.0,54,38.92194055144386,127.18464980357884,38.95541737527193,127.46491450710522,39.14066961128409,127.14114425667226,39.17440713707997,127.42222378691332,38.92194055144386,127.18464980357884,38.95541737527193,127.46491450710522,39.14066961128409,127.14114425667226,39.17440713707997,127.42222378691332,39.048196139182565,127.30323308757994
